"symbols","sortino_ratio"
"WELL",8.467
"RY",4.431
"IFF",2.152
"AWK",1.939
"EOG",1.847
"RMD",1.789
"IEI",1.758
"PSA",1.414
"VEEV",1.384
"MDB",1.316
"ZTS",1.314
"DLR",1.092
"ATO",1.07
"ADI",1.05
"VLTO",0.922
"FLUT",0.912
"INTU",0.9
"MA",0.898
"AMT",0.885
"DUK",0.872
"MAA",0.871
"XYL",0.833
"KLAC",0.806
"AVB",0.71
"AFL",0.697
"ABT",0.674
"NUE",0.64
"SNPS",0.624
"CME",0.61
"TTWO",0.597
"GD",0.576
"PM",0.57
"TER",0.568
"CDW",0.561
"PGR",0.555
"CCI",0.553
"ARE",0.54
"PAYX",0.535
"BA",0.494
"ARM",0.49
"PHM",0.46
"BX",0.456
"FI",0.447
"LMT",0.424
"MCD",0.42
"GDDY",0.408
"MAR",0.393
"SMH",0.389
"CB",0.386
"SOXX",0.377
"LEN",0.376
"DHR",0.358
"PTC",0.356
"BLDR",0.353
"SAP",0.352
"FND",0.341
"AME",0.335
"CVX",0.332
"LOW",0.33
"TRV",0.324
"MMC",0.321
"DDOG",0.317
"ENPH",0.311
"IBKR",0.304
"DHI",0.299
"ADP",0.293
"MMM",0.286
"AMGN",0.285
"TOL",0.285
"ISRG",0.276
"SPG",0.271
"ABNB",0.261
"ASML",0.257
"DE",0.254
"RCL",0.245
"HLT",0.242
"PANW",0.215
"ACWI",0.214
"PG",0.2
"CHD",0.199
"GL",0.198
"TMO",0.186
"HIG",0.183
"LDOS",0.177
"IRM",0.173
"AXP",0.166
"PEP",0.166
"CI",0.159
"TT",0.156
"APO",0.154
"DASH",0.15
"ECL",0.15
"UPS",0.15
"HSY",0.148
"UNH",0.148
"GE",0.145
"NVS",0.142
"WM",0.14
"APD",0.138
"NTRA",0.137
"HD",0.136
"WAB",0.135
"ETN",0.129
"TLN",0.126
"COST",0.123
"META",0.12
"ANET",0.116
"NVO",0.115
"DKS",0.107
"NSC",0.107
"JPM",0.103
"WSM",0.095
"NOW",0.09
"ALNY",0.088
"SHW",0.087
"THC",0.085
"ICE",0.084
"RTX",0.078
"NFLX",0.075
"ITW",0.074
"JNJ",0.074
"ROST",0.074
"ZS",0.07
"TSM",0.068
"CAVA",0.066
"BURL",0.063
"LHX",0.058
"GEV",0.057
"SMCI",0.054
"UNP",0.044
"PNC",0.043
"LULU",0.038
"ARES",0.032
"KKR",0.032
"SPGI",0.032
"VRTX",0.032
"SPOT",0.03
"ADSK",0.027
"CEG",0.025
"BRO",0.024
"CDNS",0.023
"HON",0.021
"EXR",0.018
"GPN",0.018
"IBM",0.018
"PPG",0.016
"EXPD",0.014
"LIN",0.013
"SYK",0.013
"PODD",0.01
"QQQM",0.008
"ACN",0.007
"CNI",0.001
"DRI",0
"HCA",0
"ALL",-0.002
"CHRW",-0.003
"ACGL",-0.005
"TSCO",-0.008
"V",-0.014
"FSLR",-0.018
"QCOM",-0.018
"TJX",-0.019
"MRK",-0.029
"ETR",-0.03
"ODFL",-0.031
"CLX",-0.037
"MTB",-0.038
"DTE",-0.042
"ENTG",-0.043
"ILMN",-0.046
"KMB",-0.046
"PLD",-0.046
"RJF",-0.046
"XPO",-0.047
"ABBV",-0.049
"TEL",-0.053
"CL",-0.057
"MSTR",-0.061
"CBRE",-0.062
"MCO",-0.066
"CAT",-0.075
"PRU",-0.075
"DFS",-0.077
"HUM",-0.077
"BDX",-0.08
"ADBE",-0.084
"ULTA",-0.085
"EA",-0.094
"JBL",-0.099
"ED",-0.103
"COR",-0.107
"ROK",-0.108
"TEAM",-0.109
"AMAT",-0.116
"BRK-B",-0.116
"CAH",-0.118
"TMUS",-0.121
"KEYS",-0.126
"QRVO",-0.127
"CPT",-0.133
"RSG",-0.134
"STZ",-0.136
"EXPE",-0.138
"CRWD",-0.144
"TXN",-0.151
"SJM",-0.155
"A",-0.161
"ANF",-0.166
"COF",-0.181
"TRGP",-0.186
"ZBH",-0.192
"MKSI",-0.203
"LRCX",-0.206
"LLY",-0.21
"GS",-0.221
"NXPI",-0.24
"NTAP",-0.247
"YUM",-0.255
"CHTR",-0.263
"VMC",-0.282
"FDX",-0.301
"GPC",-0.305
"GTLS",-0.323
"DEO",-0.333
"IQV",-0.335
"CROX",-0.342
"JBHT",-0.343
"TROW",-0.372
"VLO",-0.379
"PSX",-0.397
"CE",-0.399
"SNOW",-0.434
"CRM",-0.44
"STLD",-0.44
"TMDX",-0.447
"LNG",-0.51
"DPZ",-0.522
"TGT",-0.524
"HES",-0.543
"WDAY",-0.574
"COIN",-0.638
"CHRD",-0.64
"FANG",-0.681
"ELF",-0.689
"CVNA",-0.695
"MPC",-0.734
"COP",-0.777
"BIIB",-0.792
"FERG",-0.866
"SHV",NA
